股票代码,股票简称,概念板块,行业板块
000090,天健集团,2025中报预减;人工智能;住宅开发;光伏概念;养老金;央国企改革;富时罗素;广东板块;房地产;房地产开发;数字孪生;新型城镇化;智慧城市;机器人概念;标准普尔;深圳特区;深股通;破净股;租售同权;粤港自贸;红利破净股;红利股;融资融券;长期破净,房地产开发
000157,中联重科,AH股;HS300_;MSCI中国;一带一路;乡村振兴;人工智能;人形机器人;参股银行;富时罗素;工业互联;工程机械;工程机械整机;工程机械概念;机构重仓;机械设备;标准普尔;深成500;深股通;深证100R;湖南板块;算力概念;节能环保;融资融券;证金持股;雅下水电概念,工程机械
000333,美的集团,AH股;HS300_;MSCI中国;人形机器人;价值股;净水概念;医疗器械概念;参股银行;国产芯片;央视50_;家用电器;工业互联;广东板块;数据中心;新能源车;智能家居;机构重仓;标准普尔;液冷概念;深成500;深股通;深证100R;物联网;白色家电;空气能热泵;空调;股权激励;茅指数;融资融券;证金持股;超级品牌;鸿蒙概念,白色家电
000400,许继电气,MSCI中国;一带一路;中证500;储能概念;充电桩;光伏概念;央国企改革;富时罗素;抽水蓄能;换电概念;无线充电;智能电网;标准普尔;氢能源;河南板块;深成500;深股通;特高压;电力设备;电网概念;电网自动化设备;电网设备;融资融券,电网设备
000404,长虹华意,央国企改革;家用电器;家电零部件Ⅱ;家电零部件Ⅲ;新能源车;智能家居;江西板块;汽车热管理;深股通;病毒防治;节能环保;融资融券;贬值受益,家电零部件Ⅱ
000408,藏格矿业,HS300_;MSCI中国;农化制品;反内卷概念;基础化工;央国企改革;小金属概念;机构重仓;深成500;深股通;深证100R;电池技术;融资融券;西部大开发;钾肥;锂电池概念;锂矿概念;青海板块,农化制品
000423,东阿阿胶,MSCI中国;中药Ⅱ;中药Ⅲ;中药概念;中证500;创投;医药生物;央国企改革;央视50_;富时罗素;山东板块;机构重仓;标准普尔;深成500;深股通;电商概念;融资融券;超级品牌,中药Ⅱ
000429,粤高速A,AB股;中证500;交通运输;价值股;参股券商;央国企改革;广东板块;机构重仓;标准普尔;深成500;深股通;粤港自贸;红利股;融资融券;铁路公路;高速公路,铁路公路
000513,丽珠集团,AH股;MSCI中国;中药概念;中证500;减肥药;创新药;化学制剂;化学制药;医药生物;单抗概念;基因测序;富时罗素;幽门螺杆菌概念;广东板块;标准普尔;流感;深成500;深股通;生物疫苗;病原体防治;痘病毒防治;精准医疗;融资融券;辅助生殖;重组蛋白,化学制药
000543,皖能电力,IPO受益;充电桩;公用事业;参股券商;参股银行;可控核聚变;天然气;央国企改革;安徽板块;富时罗素;小盘股;抽水蓄能;新能源;标准普尔;核能核电;油气资源;深成500;深股通;火力发电;煤化工概念;电力;碳交易;融资融券;超超临界发电;风能,电力
