交易所,股票代码,股票名称,来源指数,来源指数代码,纳入指数数量
深市主板,000090,天健集团,中证红利,000922,1
深市主板,000157,中联重科,中证红利,000922,1
深市主板,000408,藏格矿业,中证红利,000922,1
深市主板,000429,粤高速A,中证红利,000922,1
深市主板,000651,格力电器,中证红利,000922,2
深市主板,000672,上峰水泥,中证红利,000922,1
深市主板,000895,双汇发展,中证红利,000922,2
深市主板,000933,神火股份,中证红利,000922,2
深市主板,000983,山西焦煤,中证红利,000922,1
深市主板,002043,兔宝宝,中证红利,000922,1
深市主板,002154,报喜鸟,中证红利,000922,1
深市主板,002233,塔牌集团,中证红利,000922,2
深市主板,002267,陕天然气,中证红利,000922,1
深市主板,002416,爱施德,中证红利,000922,1
深市主板,002540,亚太科技,中证红利,000922,1
深市主板,002563,森马服饰,中证红利,000922,1
深市主板,002572,索菲亚,中证红利,000922,1
深市主板,002601,龙佰集团,中证红利,000922,1
深市主板,002737,葵花药业,中证红利,000922,1
深市主板,002756,永兴材料,中证红利,000922,1
深市主板,002867,周大生,中证红利,000922,2
创业板,301109,军信股份,中证红利,000922,1
沪市主板,600012,皖通高速,中证红利,000922,2
沪市主板,600015,华夏银行,中证红利,000922,2
沪市主板,600016,民生银行,中证红利,000922,1
沪市主板,600028,中国石化,中证红利,000922,1
沪市主板,600036,招商银行,中证红利,000922,2
沪市主板,600039,四川路桥,中证红利,000922,1
沪市主板,600057,厦门象屿,中证红利,000922,1
沪市主板,600064,南京高科,中证红利,000922,1
沪市主板,600096,云天化,中证红利,000922,3
沪市主板,600123,兰花科创,中证红利,000922,1
沪市主板,600153,建发股份,中证红利,000922,1
沪市主板,600177,雅戈尔,中证红利,000922,1
沪市主板,600188,兖矿能源,中证红利,000922,1
沪市主板,600256,广汇能源,中证红利,000922,1
沪市主板,600273,嘉化能源,中证红利,000922,1
沪市主板,600282,南钢股份,中证红利,000922,1
沪市主板,600295,鄂尔多斯,中证红利,000922,1
沪市主板,600348,华阳股份,中证红利,000922,1
沪市主板,600350,山东高速,中证红利,000922,1
沪市主板,600373,中文传媒,中证红利,000922,1
沪市主板,600398,海澜之家,中证红利,000922,1
沪市主板,600461,洪城环境,中证红利,000922,1
沪市主板,600502,安徽建工,中证红利,000922,1
沪市主板,600546,山煤国际,中证红利,000922,1
沪市主板,600585,海螺水泥,中证红利,000922,1
沪市主板,600729,重庆百货,中证红利,000922,1
沪市主板,600737,中粮糖业,中证红利,000922,1
沪市主板,600741,华域汽车,中证红利,000922,1
沪市主板,600755,厦门国贸,中证红利,000922,1
沪市主板,600757,长江传媒,中证红利,000922,1
沪市主板,600901,江苏金租,中证红利,000922,1
沪市主板,600919,江苏银行,中证红利,000922,1
沪市主板,600938,中国海油,中证红利,000922,3
沪市主板,600971,恒源煤电,中证红利,000922,1
沪市主板,600985,淮北矿业,中证红利,000922,1
沪市主板,600997,开滦股份,中证红利,000922,1
沪市主板,601000,唐山港,中证红利,000922,2
沪市主板,601001,晋控煤业,中证红利,000922,1
沪市主板,601006,大秦铁路,中证红利,000922,1
沪市主板,601009,南京银行,中证红利,000922,1
沪市主板,601019,山东出版,中证红利,000922,1
沪市主板,601077,渝农商行,中证红利,000922,1
沪市主板,601088,中国神华,中证红利,000922,2
沪市主板,601098,中南传媒,中证红利,000922,1
沪市主板,601101,昊华能源,中证红利,000922,1
沪市主板,601166,兴业银行,中证红利,000922,1
沪市主板,601168,西部矿业,中证红利,000922,1
沪市主板,601169,北京银行,中证红利,000922,1
沪市主板,601187,厦门银行,中证红利,000922,1
沪市主板,601216,君正集团,中证红利,000922,1
沪市主板,601225,陕西煤业,中证红利,000922,1
沪市主板,601229,上海银行,中证红利,000922,1
沪市主板,601288,农业银行,中证红利,000922,1
沪市主板,601318,中国平安,中证红利,000922,2
沪市主板,601328,交通银行,中证红利,000922,1
沪市主板,601398,工商银行,中证红利,000922,1
沪市主板,601598,中国外运,中证红利,000922,1
沪市主板,601658,邮储银行,中证红利,000922,1
沪市主板,601666,平煤股份,中证红利,000922,1
沪市主板,601668,中国建筑,中证红利,000922,1
沪市主板,601699,潞安环能,中证红利,000922,1
沪市主板,601717,中创智领,中证红利,000922,3
沪市主板,601818,光大银行,中证红利,000922,1
沪市主板,601825,沪农商行,中证红利,000922,1
沪市主板,601838,成都银行,中证红利,000922,1
沪市主板,601857,中国石油,中证红利,000922,2
沪市主板,601916,浙商银行,中证红利,000922,1
沪市主板,601919,中远海控,中证红利,000922,1
沪市主板,601928,凤凰传媒,中证红利,000922,1
沪市主板,601939,建设银行,中证红利,000922,1
沪市主板,601963,重庆银行,中证红利,000922,1
沪市主板,601988,中国银行,中证红利,000922,1
沪市主板,601997,贵阳银行,中证红利,000922,1
沪市主板,601998,中信银行,中证红利,000922,1
沪市主板,603565,中谷物流,中证红利,000922,2
沪市主板,603706,东方环宇,中证红利,000922,1
沪市主板,603967,中创物流,中证红利,000922,1
其他,920599,同力股份,中证红利,000922,1
深市主板,000333,美的集团,中证红利质量,932315,1
深市主板,000423,东阿阿胶,中证红利质量,932315,2
深市主板,000543,皖能电力,中证红利质量,932315,1
深市主板,000807,云铝股份,中证红利质量,932315,1
深市主板,000915,华特达因,中证红利质量,932315,1
深市主板,000975,山金国际,中证红利质量,932315,1
深市主板,001206,依依股份,中证红利质量,932315,1
深市主板,001338,永顺泰,中证红利质量,932315,1
深市主板,002117,东港股份,中证红利质量,932315,1
深市主板,002532,天山铝业,中证红利质量,932315,1
深市主板,002555,三七互娱,中证红利质量,932315,1
深市主板,002690,美亚光电,中证红利质量,932315,1
深市主板,002895,川恒股份,中证红利质量,932315,1
创业板,300009,安科生物,中证红利质量,932315,1
创业板,300127,银河磁体,中证红利质量,932315,1
创业板,300628,亿联网络,中证红利质量,932315,1
创业板,300684,中石科技,中证红利质量,932315,1
创业板,301061,匠心家居,中证红利质量,932315,1
沪市主板,600210,紫江企业,中证红利质量,932315,2
沪市主板,600285,羚锐制药,中证红利质量,932315,1
沪市主板,600300,维维股份,中证红利质量,932315,1
沪市主板,600351,亚宝药业,中证红利质量,932315,1
沪市主板,600519,贵州茅台,中证红利质量,932315,2
沪市主板,600660,福耀玻璃,中证红利质量,932315,2
沪市主板,600873,梅花生物,中证红利质量,932315,2
沪市主板,601601,中国太保,中证红利质量,932315,2
沪市主板,601958,金钼股份,中证红利质量,932315,1
沪市主板,603040,新坐标,中证红利质量,932315,2
沪市主板,603195,公牛集团,中证红利质量,932315,1
沪市主板,603203,快克智能,中证红利质量,932315,1
沪市主板,603259,药明康德,中证红利质量,932315,2
沪市主板,603317,天味食品,中证红利质量,932315,1
沪市主板,603380,易德龙,中证红利质量,932315,2
沪市主板,603508,思维列控,中证红利质量,932315,1
沪市主板,603816,顾家家居,中证红利质量,932315,2
沪市主板,603871,嘉友国际,中证红利质量,932315,1
沪市主板,605028,世茂能源,中证红利质量,932315,1
沪市主板,605099,共创草坪,中证红利质量,932315,2
沪市主板,605118,力鼎光电,中证红利质量,932315,1
沪市主板,605599,菜百股份,中证红利质量,932315,1
其他,920509,同惠电子,中证红利质量,932315,1
深市主板,000400,许继电气,红利增长,932309,1
深市主板,000404,长虹华意,红利增长,932309,1
深市主板,000563,陕国投A,红利增长,932309,1
深市主板,000568,泸州老窖,红利增长,932309,1
深市主板,000596,古井贡酒,红利增长,932309,1
深市主板,000729,燕京啤酒,红利增长,932309,1
深市主板,000786,北新建材,红利增长,932309,1
深市主板,000858,五 粮 液,红利增长,932309,1
深市主板,000988,华工科技,红利增长,932309,1
深市主板,000999,华润三九,红利增长,932309,1
深市主板,002017,东信和平,红利增长,932309,1
深市主板,002028,思源电气,红利增长,932309,1
深市主板,002046,国机精工,红利增长,932309,1
深市主板,002078,太阳纸业,红利增长,932309,1
深市主板,002096,易普力,红利增长,932309,1
深市主板,002158,汉钟精机,红利增长,932309,1
深市主板,002179,中航光电,红利增长,932309,1
深市主板,002262,恩华药业,红利增长,932309,1
深市主板,002318,久立特材,红利增长,932309,1
深市主板,002353,杰瑞股份,红利增长,932309,1
深市主板,002371,北方华创,红利增长,932309,1
深市主板,002409,雅克科技,红利增长,932309,1
深市主板,002850,科达利,红利增长,932309,1
创业板,300015,爱尔眼科,红利增长,932309,1
创业板,300092,科新机电,红利增长,932309,1
创业板,300346,南大光电,红利增长,932309,1
创业板,300384,三联虹普,红利增长,932309,1
创业板,300705,九典制药,红利增长,932309,1
沪市主板,600284,浦东建设,红利增长,932309,1
沪市主板,600323,瀚蓝环境,红利增长,932309,2
沪市主板,600362,江西铜业,红利增长,932309,1
沪市主板,600377,宁沪高速,红利增长,932309,1
沪市主板,600406,国电南瑞,红利增长,932309,1
沪市主板,600436,片仔癀,红利增长,932309,1
沪市主板,600549,厦门钨业,红利增长,932309,1
沪市主板,600562,国睿科技,红利增长,932309,1
沪市主板,600582,天地科技,红利增长,932309,1
沪市主板,600600,青岛啤酒,红利增长,932309,1
沪市主板,600690,海尔智家,红利增长,932309,1
沪市主板,600761,安徽合力,红利增长,932309,1
沪市主板,600993,马应龙,红利增长,932309,1
沪市主板,601008,连云港,红利增长,932309,1
沪市主板,601899,紫金矿业,红利增长,932309,1
深市主板,000513,丽珠集团,红利质量,931468,1
深市主板,002056,横店东磁,红利质量,931468,1
深市主板,002192,融捷股份,红利质量,931468,1
深市主板,002415,海康威视,红利质量,931468,1
深市主板,002959,小熊电器,红利质量,931468,1
创业板,300033,同花顺,红利质量,931468,1
创业板,300373,扬杰科技,红利质量,931468,1
创业板,300693,盛弘股份,红利质量,931468,1
创业板,300750,宁德时代,红利质量,931468,1
创业板,300841,康华生物,红利质量,931468,1
创业板,300957,贝泰妮,红利质量,931468,1
创业板,301031,中熔电气,红利质量,931468,1
沪市主板,600750,华润江中,红利质量,931468,1
沪市主板,601336,新华保险,红利质量,931468,1
沪市主板,601900,南方传媒,红利质量,931468,1
沪市主板,603129,春风动力,红利质量,931468,1
沪市主板,603233,大参林,红利质量,931468,1
沪市主板,603367,辰欣药业,红利质量,931468,1
沪市主板,603379,三美股份,红利质量,931468,1
沪市主板,603444,吉比特,红利质量,931468,1
沪市主板,603486,科沃斯,红利质量,931468,1
沪市主板,603529,爱玛科技,红利质量,931468,1
沪市主板,603611,诺力股份,红利质量,931468,1
沪市主板,603833,欧派家居,红利质量,931468,1
沪市主板,603893,瑞芯微,红利质量,931468,1
沪市主板,603929,亚翔集成,红利质量,931468,1
沪市主板,605499,东鹏饮料,红利质量,931468,1
科创板,688025,杰普特,红利质量,931468,1
科创板,688111,金山办公,红利质量,931468,1
科创板,688188,柏楚电子,红利质量,931468,1
科创板,688200,华峰测控,红利质量,931468,1
科创板,688513,苑东生物,红利质量,931468,1
科创板,688799,华纳药厂,红利质量,931468,1
科创板,688819,天能股份,红利质量,931468,1
其他,920735,德源药业,红利质量,931468,1
