股票代码,股票名称,交易所,来源指数,分红次数
000090,天健集团,深市主板,中证红利,25
000157,中联重科,深市主板,中证红利,27
000408,藏格矿业,深市主板,中证红利,9
000429,粤高速A,深市主板,中证红利,52
000651,格力电器,深市主板,中证红利,31
000672,上峰水泥,深市主板,中证红利,14
000895,双汇发展,深市主板,中证红利,32
000933,神火股份,深市主板,中证红利,26
000983,山西焦煤,深市主板,中证红利,26
002043,兔宝宝,深市主板,中证红利,20
002154,报喜鸟,深市主板,中证红利,20
002233,塔牌集团,深市主板,中证红利,20
002267,陕天然气,深市主板,中证红利,19
002416,爱施德,深市主板,中证红利,11
002540,亚太科技,深市主板,中证红利,19
002563,森马服饰,深市主板,中证红利,15
002572,索菲亚,深市主板,中证红利,15
002601,龙佰集团,深市主板,中证红利,24
002737,葵花药业,深市主板,中证红利,11
002756,永兴材料,深市主板,中证红利,12
002867,周大生,深市主板,中证红利,12
301109,军信股份,创业板,中证红利,4
600012,皖通高速,沪市主板,中证红利,24
600015,华夏银行,沪市主板,中证红利,25
600016,民生银行,沪市主板,中证红利,32
600028,中国石化,沪市主板,中证红利,48
600036,招商银行,沪市主板,中证红利,24
600039,四川路桥,沪市主板,中证红利,16
600057,厦门象屿,沪市主板,中证红利,13
600064,南京高科,沪市主板,中证红利,23
600096,云天化,沪市主板,中证红利,19
600123,兰花科创,沪市主板,中证红利,23
600153,建发股份,沪市主板,中证红利,28
600177,雅戈尔,沪市主板,中证红利,31
600188,兖矿能源,沪市主板,中证红利,34
600256,广汇能源,沪市主板,中证红利,16
600273,嘉化能源,沪市主板,中证红利,26
600282,南钢股份,沪市主板,中证红利,24
600295,鄂尔多斯,沪市主板,中证红利,49
600348,华阳股份,沪市主板,中证红利,19
600350,山东高速,沪市主板,中证红利,23
600373,中文传媒,沪市主板,中证红利,20
600398,海澜之家,沪市主板,中证红利,23
600461,洪城环境,沪市主板,中证红利,20
600502,安徽建工,沪市主板,中证红利,20
600546,山煤国际,沪市主板,中证红利,15
600585,海螺水泥,沪市主板,中证红利,24
600729,重庆百货,沪市主板,中证红利,28
600737,中粮糖业,沪市主板,中证红利,19
600741,华域汽车,沪市主板,中证红利,24
600755,厦门国贸,沪市主板,中证红利,24
600757,长江传媒,沪市主板,中证红利,16
600901,江苏金租,沪市主板,中证红利,8
600919,江苏银行,沪市主板,中证红利,10
600938,中国海油,沪市主板,中证红利,7
600971,恒源煤电,沪市主板,中证红利,17
600985,淮北矿业,沪市主板,中证红利,21
