股票代码,股票名称,交易所,来源指数,申万一级行业,申万二级行业,申万三级行业,2025年平均价,2025年分红(元/股),2025年分红次数,2025年股息率(%),2024年平均价,2024年分红(元/股),2024年分红次数,2024年股息率(%),2023年平均价,2023年分红(元/股),2023年分红次数,2023年股息率(%),近3年平均股价,3年平均股息率(%),2025Q1平均价,2025Q1分红(元/股),2025Q1股息率(%),2025Q2平均价,2025Q2分红(元/股),2025Q2股息率(%),2025Q3平均价,2025Q3分红(元/股),2025Q3股息率(%),2025Q4平均价,2025Q4分红(元/股),2025Q4股息率(%),2025年最高价,2025年最低价,2025年最高涨幅(%),2025年最低跌幅(%)
429,粤高速A,深市主板,中证红利,交通运输,铁路公路,高速公路,12.87,0.52,1,4.06,10.64,0.55,1,5.14,7.93,0.43,1,5.4,10.48,4.87,13.49,-,-,13.91,-,-,12.17,0.52,4.3,12.02,-,-,14.73,10.7,14.42,16.88
600295,鄂尔多斯,沪市主板,中证红利,钢铁,冶钢原料,冶钢辅料,9.86,0.6,1,6.09,10.1,0.8,1,7.92,12.19,1.0,1,8.2,10.72,7.4,9.34,-,-,9.02,0.6,6.65,9.88,-,-,11.17,-,-,12.5,8.49,26.78,13.89
600028,中国石化,沪市主板,中证红利,石油石化,炼化及贸易,炼油化工,5.78,0.23,2,3.95,6.35,0.35,2,5.45,5.75,0.34,2,5.91,5.96,5.1,5.99,-,-,5.72,0.14,2.45,5.69,0.09,1.55,5.73,-,-,6.58,5.29,13.88,8.44
596,古井贡酒,深市主板,红利增长,食品饮料,白酒Ⅱ,白酒Ⅲ,158.09,6.0,2,3.8,211.38,4.5,1,2.13,267.95,3.0,1,1.12,212.47,2.35,170.77,1.0,0.59,157.03,5.0,3.18,151.53,-,-,154.33,-,-,193.54,131.68,22.42,16.71
513,丽珠集团,深市主板,红利质量,医药生物,化学制药,化学制剂,36.98,1.1,1,2.97,37.45,1.35,1,3.6,35.64,1.6,1,4.49,36.69,3.69,35.54,-,-,35.67,1.1,3.08,40.11,-,-,36.22,-,-,43.9,33.8,18.71,8.6
601318,中国平安,沪市主板,"中证红利, 红利质量",非银金融,保险Ⅱ,保险Ⅲ,55.76,2.57,2,4.61,45.42,2.43,2,5.35,47.31,2.43,2,5.14,49.5,5.03,50.98,-,-,52.69,1.62,3.07,57.75,-,-,61.2,0.95,1.55,71.16,48.56,27.61,12.92
601857,中国石油,沪市主板,"中证红利, 红利增长",石油石化,炼化及贸易,炼油化工,8.67,0.47,2,5.42,8.99,0.45,2,5.01,6.98,0.43,2,6.16,8.21,5.53,8.19,-,-,8.29,0.25,3.02,8.65,0.22,2.54,9.51,-,-,10.41,7.34,20.12,15.3
600188,兖矿能源,沪市主板,中证红利,煤炭,煤炭开采,动力煤,13.31,0.72,2,5.41,19.42,1.72,2,8.86,26.42,3.07,1,11.62,19.72,8.63,13.4,-,-,12.64,0.54,4.27,13.01,0.18,1.38,14.23,-,-,15.73,12.07,18.16,9.33
600016,民生银行,沪市主板,中证红利,银行,股份制银行Ⅱ,股份制银行Ⅲ,4.3,0.2,2,4.61,3.84,0.35,2,9.01,3.74,0.21,1,5.73,3.96,6.45,4.1,-,-,4.27,-,-,4.76,0.2,4.16,4.0,-,-,5.55,3.8,29.19,11.55
895,双汇发展,深市主板,"中证红利, 中证红利质量",食品饮料,食品加工,肉制品,25.7,1.4,2,5.45,25.65,1.36,2,5.3,25.6,1.75,2,6.84,25.65,5.86,25.96,-,-,25.49,0.75,2.94,25.07,0.65,2.59,26.37,-,-,27.96,24.13,8.78,6.12
651,格力电器,深市主板,"中证红利, 红利质量",家用电器,白色家电,空调,43.7,3.0,2,6.87,40.5,2.38,1,5.88,35.49,2.0,2,5.64,39.89,6.13,43.82,-,-,45.44,1.0,2.2,44.86,2.0,4.46,40.55,-,-,48.15,39.5,10.19,9.6
600177,雅戈尔,沪市主板,中证红利,纺织服饰,服装家纺,非运动服装,7.67,0.46,4,6.0,7.43,0.7,3,9.43,6.72,0.5,1,7.44,7.27,7.62,8.16,0.1,1.22,7.55,0.2,2.65,7.42,0.08,1.08,7.58,0.08,1.06,8.66,7.22,12.96,5.82
600600,青岛啤酒,沪市主板,红利增长,食品饮料,非白酒,啤酒,69.86,2.2,1,3.15,73.21,2.0,1,2.73,97.12,1.3,1,1.34,80.06,2.41,72.16,-,-,74.75,2.2,2.94,68.22,-,-,64.58,-,-,81.67,61.2,16.91,12.39
568,泸州老窖,深市主板,红利增长,食品饮料,白酒Ⅱ,白酒Ⅲ,126.13,5.95,2,4.72,150.52,5.4,1,3.59,223.74,4.22,1,1.89,166.79,3.4,123.69,1.36,1.1,122.09,-,-,128.09,4.59,3.59,130.32,-,-,143.61,108.8,13.86,13.74
600690,海尔智家,沪市主板,红利增长,家用电器,白色家电,冰洗,26.17,1.23,2,4.72,27.05,0.8,1,2.96,23.42,0.57,1,2.42,25.54,3.37,27.2,-,-,25.17,-,-,25.78,0.97,3.74,26.61,0.27,1.01,29.47,23.58,12.63,9.88
600750,江中药业,沪市主板,红利质量,医药生物,中药Ⅱ,中药Ⅲ,22.39,1.2,2,5.36,22.89,1.2,2,5.24,19.62,1.25,2,6.37,21.63,5.66,22.22,-,-,22.89,0.7,3.06,21.99,-,-,22.49,0.5,2.22,24.85,20.88,10.98,6.75
600519,贵州茅台,沪市主板,"中证红利质量, 红利增长",食品饮料,白酒Ⅱ,白酒Ⅲ,1476.08,51.63,2,3.5,1569.6,54.76,2,3.49,1768.29,45.02,2,2.55,1604.66,3.18,1494.6,-,-,1525.69,27.67,1.81,1450.35,-,-,1437.15,23.96,1.67,1637.86,1377.18,10.96,6.7
423,东阿阿胶,深市主板,"中证红利质量, 红利质量",医药生物,中药Ⅱ,中药Ⅲ,53.42,2.54,2,4.76,58.43,2.93,2,5.02,48.79,1.18,1,2.41,53.55,4.06,59.2,-,-,56.81,1.27,2.24,50.14,1.27,2.53,48.15,-,-,63.3,46.8,18.49,12.39
543,皖能电力,深市主板,中证红利质量,公用事业,电力,火力发电,7.5,0.32,1,4.25,8.06,0.22,1,2.74,5.9,0.05,1,0.81,7.15,2.6,7.26,-,-,7.42,0.32,4.3,7.21,-,-,8.13,-,-,8.82,6.79,17.6,9.47
600153,建发股份,沪市主板,中证红利,交通运输,物流,原材料供应链服务,10.23,0.7,2,6.84,9.38,0.7,1,7.47,11.12,0.8,1,7.2,10.24,7.17,9.99,0.4,4.01,10.21,0.3,2.94,10.63,-,-,10.04,-,-,11.69,9.22,14.28,9.87
786,北新建材,深市主板,红利增长,建筑材料,装修建材,其他建材,27.19,0.86,1,3.18,28.79,0.83,1,2.9,26.64,0.66,1,2.46,27.54,2.85,29.92,-,-,28.48,0.86,3.04,26.08,-,-,24.51,-,-,32.49,23.42,19.51,13.85
600729,重庆百货,沪市主板,中证红利,商贸零售,一般零售,多业态零售,28.98,1.36,1,4.7,24.97,1.36,1,5.43,29.15,0.68,1,2.33,27.7,4.15,29.34,-,-,30.82,-,-,28.67,1.36,4.75,27.14,-,-,34.24,25.73,18.15,11.21
600323,瀚蓝环境,沪市主板,"红利增长, 红利质量",环保,环境治理,固废治理,25.52,1.05,2,4.11,19.74,0.48,1,2.43,18.3,0.22,1,1.2,21.18,2.58,22.19,-,-,24.18,-,-,26.32,0.8,3.04,29.13,0.25,0.86,30.8,20.32,20.7,20.37
157,中联重科,深市主板,中证红利,机械设备,工程机械,工程机械整机,7.64,0.3,1,3.93,7.39,0.32,1,4.33,6.45,0.32,1,4.96,7.16,4.4,7.5,-,-,7.29,-,-,7.5,0.3,4.0,8.27,-,-,8.67,6.61,13.48,13.49
729,燕京啤酒,深市主板,红利增长,食品饮料,非白酒,啤酒,12.35,0.29,2,2.35,9.59,0.1,1,1.04,11.41,0.08,1,0.7,11.12,1.36,11.6,-,-,13.11,-,-,12.56,0.19,1.51,12.09,0.1,0.83,14.36,10.75,16.23,12.99
600660,福耀玻璃,沪市主板,"中证红利质量, 红利质量",汽车,汽车零部件,车身附件及饰件,60.72,2.7,2,4.45,48.58,1.3,1,2.68,36.29,1.25,1,3.44,48.53,3.52,58.34,-,-,56.97,1.8,3.16,62.14,-,-,65.19,0.9,1.38,74.2,53.53,22.19,11.85
2555,三七互娱,深市主板,中证红利质量,传媒,游戏Ⅱ,游戏Ⅲ,17.73,1.0,4,5.64,15.9,1.0,4,6.29,25.29,0.9,2,3.56,19.64,5.16,15.43,-,-,15.18,0.58,3.82,18.95,0.21,1.11,21.13,0.21,0.99,23.6,13.5,33.1,23.86
600210,紫江企业,沪市主板,"中证红利质量, 红利增长",轻工制造,包装印刷,塑料包装,6.88,0.3,1,4.36,5.57,0.25,1,4.49,5.27,0.25,1,4.74,5.91,4.53,6.66,-,-,6.51,-,-,6.87,0.3,4.37,7.47,-,-,8.0,6.15,16.3,10.59
