股票代码,股票名称,PE,PB,总市值,流通市值
300981,中红医疗,-703.51,1.26,6763200403.0,6198160042.0
300185,通裕重工,146.8,2.47,16406995842.0,15606378365.0
300677,英科医疗,32.82,2.23,40457204121.0,28770239752.0
300505,川金诺,26.34,3.87,10692346645.0,8455351536.0
300720,海川智能,260.26,16.37,9584063450.0,8589384917.0
300035,中科电气,29.29,3.2,15689416499.0,13352838696.0
300143,盈康生命,86.61,3.97,10027662462.0,8581439348.0
920159,农大科技,26.9,4.31,3876000000.0,734400000.0
688519,南亚新材,129.64,10.85,31224543266.0,31224543266.0
300936,中英科技,-470.62,4.51,4509744000.0,2846192692.0
688689,银河微电,59.48,3.46,4781021950.0,4781021950.0
300569,天能重工,71.08,1.54,7966967105.0,7942767524.0
600408,安泰集团,-20.01,3.06,4158084000.0,4158084000.0
000677,恒天海龙,1183.82,8.54,4337169299.0,4337169299.0
600370,三房巷,-17.09,2.15,10637938357.0,10637938357.0
600227,赤天化,-36.3,3.08,7379739983.0,5583111139.0
600226,亨通股份,71.19,4.96,17905774968.0,17905774968.0
600726,华电能源,94.78,8.21,33764325617.0,31919685608.0
600683,京投发展,-13.02,-50.19,6489211750.0,6489211750.0
002445,中南文化,97.33,4.71,10670967814.0,10625050569.0
002429,兆驰股份,40.53,3.29,54051670848.0,54020536235.0
002669,康达新材,41.56,1.72,4657190000.0,4646718230.0
002950,奥美医疗,15.39,1.92,7155899099.0,5107545862.0
600234,科新发展,94.48,7.83,3916812917.0,3916812917.0
600232,金鹰股份,285.2,3.41,3202228816.0,3202228816.0
002969,嘉美包装,556.89,10.98,29077181444.0,28912888824.0
603538,美诺华,43.73,2.49,5592820661.0,5484889577.0
603366,日出东方,171.54,2.02,8390656402.0,8390656402.0
000890,法尔胜,-153.27,-839.3,4652299005.0,4652155700.0
601611,中国核建,39.25,2.66,57895755213.0,57895755213.0
605222,起帆电缆,31.96,2.04,9521545440.0,9521545440.0
603062,麦加芯彩,27.57,2.98,6079320000.0,2086844799.0
603659,璞泰来,29.35,3.39,69240694053.0,69240694053.0
002531,天顺风能,240.12,2.48,22317232932.0,22192877260.0
002931,锋龙股份,621.29,18.76,17825707732.0,16418262814.0
002543,万和电气,11.39,1.44,7279844000.0,6477171719.0
002165,红 宝 丽,187.83,4.59,9382043120.0,9284552369.0
002487,大金重工,46.62,6.21,51434484997.0,50883719453.0
002382,蓝帆医疗,-20.05,0.99,7644177845.0,7587769914.0
002903,宇环数控,1191.39,6.03,4862338940.0,3309136913.0
603803,瑞斯康达,-93.06,3.72,5842148909.0,5842148909.0
600847,万里股份,-53.78,4.62,2377487574.0,2377487574.0
003027,同兴科技,38.79,1.88,3205332864.0,2571190935.0
002056,横店东磁,21.7,4.1,42034239992.0,41990816777.0
002084,海鸥住工,-33.38,1.99,2771580412.0,2765481756.0
603929,亚翔集成,33.68,13.04,30047488800.0,30047488800.0
003041,真爱美家,32.75,6.87,10058400000.0,9557114490.0
600722,金牛化工,239.91,9.33,11524615311.0,11524615311.0
603280,南方路机,42.98,3.25,4412151347.0,1137225847.0
603607,京华激光,44.75,4.34,4382587440.0,4382587440.0
603558,健盛集团,10.99,1.9,4450868257.0,4450868257.0
002438,江苏神通,31.29,2.66,9775171499.0,9030641646.0
002637,赞宇科技,37.14,1.98,7465263870.0,7026016391.0
603029,天鹅股份,37.52,2.82,2620987200.0,2620987200.0
603248,锡华科技,60.21,7.56,12972000000.0,1954511488.0
002109,兴化股份,-11.71,1.62,6611077828.0,6611077828.0
001366,播恩集团,-190.66,3.15,2532316800.0,2532316800.0
601218,吉鑫科技,44.22,2.27,6725092573.0,6725092573.0
600746,江苏索普,64.41,1.98,10814225106.0,10797922533.0
600756,浪潮软件,-21.9,2.72,6163954915.0,5713861015.0
603169,兰石重装,1120.04,5.05,16720535014.0,16720535014.0
002323,雅博股份,-66.99,15.41,5386972061.0,5385770087.0
600336,澳柯玛,-540.43,2.69,6527760810.0,6527760810.0
000010,美丽生态,-122.43,15.95,5207924883.0,3841591008.0
601669,中国电建,12.43,0.86,123856085611.0,93984270862.0
600691,潞化科技,-21.7,2.91,10525600047.0,10523845767.0
600121,郑州煤电,-13.51,4.49,6884028015.0,6884028015.0
002470,金正大,-269.22,5.15,10581009329.0,10580113123.0
600307,酒钢宏兴,-14.68,2.04,13904653481.0,13904653481.0
688131,皓元医药,56.37,4.44,13967044976.0,13967044976.0
001309,德明利,105.48,22.21,72601952843.0,51488342677.0
300641,正丹股份,13.05,3.76,11740671055.0,11740671055.0
300436,广生堂,-119.01,46.22,17705712390.0,15199381294.0
688325,赛微微电,109.25,5.85,10525326243.0,9978702924.0
600299,安迪苏,41.24,2.4,47613387313.0,41462193681.0
603218,日月股份,29.62,1.68,17155181813.0,17116803563.0
300387,富邦科技,27.9,2.02,3000411847.0,2999369975.0
000912,泸天化,3850.68,1.5,9439360000.0,9439360000.0
301389,隆扬电子,148.33,6.92,15371370000.0,4585333728.0
688268,华特气体,65.75,4.68,9455714508.0,9449331708.0
688360,德马科技,54.87,3.54,5129853223.0,4906963381.0
002273,水晶光电,29.3,4.01,38409261944.0,37624291407.0
920199,倍益康,461.69,6.01,3178003268.0,1769685718.0
002627,三峡旅游,58.8,2.17,6731546802.0,6661929297.0
300804,广康生化,85.52,2.92,3973800000.0,1476750000.0
000777,中核科技,69.18,4.5,10290928196.0,10290746597.0
688230,芯导科技,76.25,3.57,8094408000.0,8094408000.0
300594,朗进科技,-160.55,3.5,2890338737.0,2862801013.0
301307,美利信,-30.64,3.07,8773596000.0,4540591722.0
002852,道道全,14.18,1.84,4082903780.0,3386131136.0
301092,争光股份,50.34,2.74,5307416954.0,2394164639.0
300385,雪浪环境,-21.28,54.29,4474149867.0,3903599161.0
002173,创新医疗,2221.4,7.86,13993126802.0,13201013888.0
002733,雄韬股份,74.14,3.83,10515962169.0,10095773714.0
301629,矽电股份,351.86,10.09,11757911268.0,2939449780.0
600966,博汇纸业,70.16,1.54,11363176448.0,11363176448.0
001301,尚太科技,23.83,3.34,22601131651.0,16123340068.0
002213,大为股份,-431.44,12.38,6739822030.0,5862090044.0
301003,江苏博云,46.09,4.5,4997509468.0,3865971213.0
002463,沪电股份,40.87,10.34,156219831934.0,156093755253.0
600057,厦门象屿,11.39,1.49,24798344929.0,18267613732.0
688819,天能股份,21.2,1.98,33722149000.0,33722149000.0
002692,远程股份,67.94,3.68,4474049580.0,4471326914.0
300879,大叶股份,30.98,3.71,5114618510.0,5079988881.0
688308,欧科亿,142.81,5.6,14827035893.0,14827035893.0
301667,纳百川,121.83,10.32,9468465384.0,1907305179.0
300225,*ST金泰,111.21,3.02,2610108449.0,2608063424.0
002826,易明医药,38.11,5.18,4154868173.0,3798572016.0
600078,澄星股份,248.36,5.33,9245263681.0,9050745281.0
603226,菲林格尔,-297.19,15.27,13864179030.0,13864179030.0
600844,金煤科技,-35.8,30.34,4238906081.0,3430786744.0
001369,双欣材料,38.92,3.14,20967160000.0,3674817213.0
605056,咸亨国际,57.96,5.91,9907315440.0,9762115440.0
688109,品茗科技,220.56,12.96,10430836290.0,10430836290.0
300080,易成新能,-32.23,2.36,11390153051.0,11374832138.0
300077,国民技术,-117.31,14.72,13540201974.0,13150122228.0
600639,浦东金桥,11.48,0.81,12324093565.0,9335598999.0
600773,西藏城投,-115.77,3.68,17366460286.0,17366460286.0
300324,旋极信息,-41.85,3.51,9674507332.0,9575948749.0
301272,英华特,100.32,2.65,2684670547.0,1437664865.0
300453,三鑫医疗,20.25,3.65,5314817920.0,3663371899.0
300611,美力科技,37.09,4.7,5775003245.0,4057569533.0
689009,九号公司-WD,20.35,4.96,35699258319.0,27449488997.0
002743,富煌钢构,48.69,0.81,2681253824.0,2676957224.0
300129,泰胜风能,59.71,3.17,17242667960.0,11175943392.0
002545,东方铁塔,30.86,3.61,34074860453.0,30955183962.0
300201,海伦哲,46.59,6.49,10958213572.0,10900411309.0
002203,海亮股份,26.56,1.95,32749182865.0,31611498734.0
600930,华电新能,27.45,2.56,281988571427.0,21833539983.0
300983,尤安设计,-226.04,1.9,5377536000.0,3680950311.0
603863,松炀资源,-36.66,11.65,4240348000.0,4240348000.0
300340,科恒股份,-18.56,-40.47,3405361877.0,3380003446.0
605507,国邦医药,18.29,1.98,16345587375.0,16345587375.0
605365,立达信,60.16,2.74,10210941898.0,10210941898.0
605069,正和生态,-105.04,3.49,2972236803.0,2972236803.0
002356,赫美集团,85.52,9.5,5900645345.0,5900611595.0
300584,海辰药业,123.52,5.16,5382000000.0,3682666958.0
301122,采纳股份,383.74,2.36,4221142571.0,2611871921.0
688335,复洁科技,557.75,5.31,6159719373.0,6159719373.0
002693,*ST双成,-945.32,8.14,3180670383.0,3152228841.0
600152,维科技术,-65.32,3.04,5169105494.0,5169105494.0
600569,安阳钢铁,100.08,2.85,7784261956.0,7784261956.0
603968,醋化股份,-92.28,1.65,2981318400.0,2981318400.0
600367,红星发展,59.09,3.42,8460046370.0,7984934914.0
600233,圆通速递,18.47,2.12,70847295690.0,70847295690.0
603843,*ST正平,-35.24,16.75,4687475688.0,4687475688.0
002620,ST瑞和,-35.82,-121.99,2687757280.0,2245365357.0
301399,英特科技,140.25,3.14,4118545200.0,1217256624.0
002789,*ST建艺,-3.81,-1.52,1741492538.0,1707045140.0
000908,*ST景峰,-149.54,119.12,8885720945.0,4442860473.0
603261,*ST立航,-42.72,3.76,2528988868.0,2528988868.0
002767,先锋电子,127.45,4.17,3546000000.0,3077893036.0
000669,ST金鸿,-53.65,-297.88,3306786753.0,3306786753.0
603557,ST起步,-22.91,31.92,2499981921.0,2499981921.0
600599,*ST熊猫,46.73,7.29,844940000.0,844940000.0
000065,北方国际,24.77,1.45,16004672951.0,13434980329.0
000004,*ST国华,-22.58,22.07,815462537.0,777932651.0
002952,亚世光电,267.89,5.13,4463474400.0,3575479069.0
603568,伟明环保,17.32,3.38,49302991941.0,49214080221.0
603585,苏利股份,22.31,1.63,4141520670.0,4049445870.0
300685,艾德生物,23.09,4.06,8265328000.0,8224400333.0
001338,永顺泰,20.47,1.85,6903816276.0,6903816276.0
002647,*ST仁东,31.25,20.0,11235099071.0,6736695721.0
002255,海陆重工,26.32,2.53,11216894243.0,8612625281.0
920018,宏远股份,39.19,4.4,4240074481.0,1472652540.0
300301,ST长方,-22.53,15.84,2605787935.0,2480212898.0
300296,利亚德,67.19,3.1,24977310215.0,20945246153.0
002274,华昌化工,-606.65,1.26,6847501805.0,6743135245.0
300313,*ST天山,-117.75,69.7,1836707094.0,1511722364.0
003002,壶化股份,27.83,3.6,5400000000.0,4936876425.0
000930,中粮科技,139.96,1.39,14777281472.0,14776530717.0
600853,龙建股份,10.9,1.09,4411038095.0,4409577800.0
001203,大中矿业,76.48,9.3,60556677183.0,51954997524.0
300904,威力传动,-64.31,7.53,4964042051.0,1496319451.0
002880,卫光生物,32.81,2.97,6906060000.0,6906060000.0
600714,金瑞矿业,117.58,9.32,7161180384.0,7161180384.0
300093,*ST金刚,-18.08,-3.24,9660600000.0,4991310000.0
300890,翔丰华,147.38,1.91,3919823387.0,3580948946.0
300227,光韵达,-102.92,4.59,7196985286.0,5599565736.0
301509,金凯生科,33.28,2.08,4589018089.0,2161829357.0
600429,三元股份,26.06,1.57,8201406295.0,8176663546.0
605389,长龄液压,68.31,4.78,10060159227.0,9514145183.0
300561,*ST汇科,2062.19,6.96,4176814522.0,3068662917.0
603683,晶华新材,93.93,4.99,8024074193.0,7938368586.0
920396,常辅股份,65.76,7.4,2686626259.0,1908685612.0
002015,协鑫能科,35.59,2.93,36167672400.0,36167672400.0
002151,北斗星通,1027.7,4.81,24811028724.0,20236821993.0
300487,蓝晓科技,45.37,9.81,39427322092.0,23852875742.0
301256,华融化学,104.46,4.33,7396800000.0,7396800000.0
000695,滨海能源,-50.73,29.61,3344183366.0,3200735097.0
300345,华民股份,-32.71,8.59,4479375932.0,3700561102.0
600211,西藏药业,15.06,3.72,14120803977.0,14120803977.0
002636,金安国纪,91.72,6.07,21148400000.0,21041362864.0
603949,雪龙集团,57.22,4.41,4657281203.0,4645536555.0
688295,中复神鹰,419.19,8.58,40518000000.0,40518000000.0
300716,ST泉为,-30.24,-2255.84,2371496400.0,2371496400.0
688150,莱特光电,72.0,8.26,15827870218.0,15827870218.0
002360,同德化工,-202.87,1.34,2687869719.0,2191123719.0
300502,新易盛,46.43,26.97,391669489207.0,348881700582.0
300675,建科院,-25.65,4.48,2390667210.0,2390667210.0
301180,万祥科技,658.64,6.43,8480212000.0,3479725642.0
003018,金富科技,58.52,4.58,7290400000.0,2747329057.0
001280,中国铀业,116.37,13.6,186136363620.0,14227853310.0
002170,芭田股份,15.38,3.84,14089274574.0,11423623484.0
600605,汇通能源,250.01,4.25,6029635400.0,6029635400.0
600231,凌钢股份,-6.11,1.46,6867594221.0,6781605421.0
300198,ST纳川,-19.13,149.41,2764550087.0,2750260249.0
688097,博众精工,49.85,5.96,29478752490.0,29370578490.0
601208,东材科技,88.87,5.61,33527971878.0,33527971878.0
300190,维尔利,376.77,1.28,4038858060.0,4026102952.0
000922,佳电股份,43.1,2.47,11258759495.0,9514114249.0
605100,华丰股份,420.2,4.01,7153587000.0,7120150800.0
