股票代码,股票简称,概念板块,行业板块,数据季度
000090,天健集团,2025年报预减;人工智能;光伏概念;养老金;央国企改革;工程建设;数字孪生;新型城镇化;智慧城市;机器人概念;深圳特区;破净股;租售同权;粤港自贸;红利破净股;红利股;长期破净,住宅开发;房地产;房地产开发,2026Q2
000157,中联重科,AH股;一带一路;乡村振兴;人工智能;人形机器人;参股银行;大盘价值;工业互联;工程机械概念;深成500;深证100R;破增发价股;算力概念;节能环保;雅下水电概念,工程机械;工程机械整机;机械设备,2026Q2
000333,美的集团,AH股;人形机器人;净水概念;医疗器械概念;参股银行;国产芯片;工业互联;数据中心;新能源车;智能家居;液冷概念;深成500;深证100R;物联网;百日新高;空气能热泵;股权激励;茅指数;超级品牌;趋势股;近期新高;鸿蒙概念,家用电器;白色家电;空调,2026Q2
000400,许继电气,一带一路;中盘价值;中盘股;中证500;储能概念;充电桩;光伏概念;央国企改革;抽水蓄能;换电概念;无线充电;智能电网;氢能源;深成500;特高压;电网概念,电力设备;电网自动化设备;电网设备,2026Q2
000404,长虹华意,央国企改革;新能源车;智能家居;汽车热管理;病毒防治;节能环保;贬值受益,家用电器;家电零部件Ⅱ;家电零部件Ⅲ,2026Q2
000423,东阿阿胶,中盘股;中药概念;中证500;创投;央国企改革;深成500;电商概念;超级品牌,中药Ⅱ;中药Ⅲ;医药生物,2026Q2
000429,粤高速A,AB股;中盘价值;中盘股;中证500;参股券商;央国企改革;深成500;粤港自贸;红利股;趋势股,交通运输;铁路公路;高速公路,2026Q2
000513,丽珠集团,AH股;中盘价值;中盘股;中药概念;中证500;减肥药;创新药;单抗概念;基因测序;幽门螺杆菌概念;流感;深成500;生物疫苗;病原体防治;精准医疗;辅助生殖;重组蛋白,化学制剂;化学制药;医药生物,2026Q2
000543,皖能电力,IPO受益;充电桩;参股券商;参股银行;可控核聚变;天然气;央国企改革;小盘价值;小盘股;抽水蓄能;新能源;核能核电;油气资源;深成500;煤化工概念;碳交易;超超临界发电;风能,公用事业;火力发电;电力,2026Q2
000563,陕国投A,中证500;低价股;化债(AMC)概念;参股保险;参股券商;参股银行;央国企改革;小盘成长;小盘股;深成500;破净股;西部大开发,信托;多元金融;非银金融,2026Q2
000568,泸州老窖,IPO受益;农业种植;参股券商;味蕾经济;基金重仓;大盘价值;央国企改革;成渝特区;深成500;深证100R;白酒;茅指数;西部大开发;超级品牌;酿酒概念,白酒Ⅱ;白酒Ⅲ;食品饮料,2026Q2
000596,古井贡酒,AB股;味蕾经济;大盘价值;央国企改革;深成500;深证100R;白酒;破增发价股;酿酒概念,白酒Ⅱ;白酒Ⅲ;食品饮料,2026Q2
000651,格力电器,储能概念;光伏概念;净水概念;国产芯片;大盘价值;工业母机;新能源车;新零售;智能家居;机器人概念;深成500;深证100R;特斯拉概念;电池技术;空气能热泵;粤港自贸;红利股;职业教育;茅指数;超级品牌;锂电池概念,家用电器;白色家电;空调,2026Q2
000672,上峰水泥,一带一路;储能概念;光伏概念;反内卷概念;国产芯片;小盘价值;小盘股;西部大开发,建筑材料;水泥;水泥制造,2026Q2
000729,燕京啤酒,2025年报预增;2026一季报预增;中盘股;中证500;创投;味蕾经济;啤酒概念;央国企改革;深成500;酿酒概念,啤酒;非白酒;食品饮料,2026Q2
000786,北新建材,IPO受益;中盘价值;中盘股;其他建材Ⅲ;参股新三板;周期股;央国企改革;新材料;新能源;深成500;深证100R;装配建筑;雄安新区,建筑材料;装修建材,2026Q2
000807,云铝股份,大盘价值;央国企改革;新能源车;深成500;燃料电池概念;电池技术;稀缺资源;节能环保;西部大开发,工业金属;有色金属;铝,2026Q2
000858,五 粮 液,无,无,2026Q2
000895,双汇发展,人造肉;味蕾经济;大盘价值;新零售;深成500;深证100R;猪肉概念;破增发价股;社区团购;红利股;超级品牌;预制菜概念;鸡肉概念,肉制品;食品加工;食品饮料,2026Q2
000915,华特达因,央国企改革;婴童概念;流感;维生素,化学制剂;化学制药;医药生物,2026Q2
000933,神火股份,2026一季报预增;中盘价值;中盘股;中证500;央国企改革;深成500;煤化工概念;稀缺资源;钠离子电池,工业金属;有色金属;铝,2026Q2
000975,山金国际,2026一季报预增;内蒙古;央国企改革;小金属概念;深成500;深证100R;西部大开发;黄金概念,有色金属;贵金属;黄金,2026Q2
000983,山西焦煤,2025年报预减;中盘价值;中盘股;反内卷概念;央国企改革;深成500;稀缺资源;红利股,焦煤;煤炭;煤炭开采,2026Q2
000988,华工科技,2026一季报预增;3D打印;3D玻璃;5G概念;CPO概念;DeepSeek概念;F5G概念;IPO受益;东方财富热股;传感器;充电桩;光通信模块;全息技术;创投;半导体概念;华为概念;大盘成长;央国企改革;工业母机;新材料;新能源车;智能家居;机器人概念;柔性屏(折叠屏);深成500;湖北自贸;物联网;特斯拉概念;玻璃基板;移动支付;苹果概念;蓝宝石;通信技术;量子科技;高压快充,机械设备;激光设备;自动化设备,2026Q2
000999,华润三九,中特估;中盘股;中药概念;创新药;化妆品概念;央国企改革;婴童概念;流感;深圳特区;深成500;深证100R;特色药;独家药品;电商概念;病原体防治;病毒防治;维生素,中药Ⅱ;中药Ⅲ;医药生物,2026Q2
