股票代码,股票简称,一级行业,二级行业,三级行业
001220.SZ,世盟股份,交通运输,物流,中间产品及消费品供应链服务
002769.SZ,普路通,交通运输,物流,中间产品及消费品供应链服务
002889.SZ,东方嘉盛,交通运输,物流,中间产品及消费品供应链服务
300013.SZ,新宁物流,交通运输,物流,中间产品及消费品供应链服务
300240.SZ,飞力达,交通运输,物流,中间产品及消费品供应链服务
300350.SZ,华鹏飞,交通运输,物流,中间产品及消费品供应链服务
300873.SZ,海晨股份,交通运输,物流,中间产品及消费品供应链服务
603648.SH,畅联股份,交通运输,物流,中间产品及消费品供应链服务
002492.SZ,恒基达鑫,交通运输,物流,仓储物流
002930.SZ,宏川智慧,交通运输,物流,仓储物流
600787.SH,中储股份,交通运输,物流,仓储物流
600794.SH,保税科技,交通运输,物流,仓储物流
603066.SH,音飞储存,交通运输,物流,仓储物流
603713.SH,密尔克卫,交通运输,物流,仓储物流
002010.SZ,传化智联,交通运输,物流,公路货运
002682.SZ,龙洲股份,交通运输,物流,公路货运
002800.SZ,天顺股份,交通运输,物流,公路货运
603569.SH,长久物流,交通运输,物流,公路货运
603813.SH,*ST原尚,交通运输,物流,公路货运
000626.SZ,远大控股,交通运输,物流,原材料供应链服务
000906.SZ,浙商中拓,交通运输,物流,原材料供应链服务
001202.SZ,炬申股份,交通运输,物流,原材料供应链服务
002485.SZ,ST雪发,交通运输,物流,原材料供应链服务
600057.SH,厦门象屿,交通运输,物流,原材料供应链服务
600153.SH,建发股份,交通运输,物流,原材料供应链服务
600180.SH,瑞茂通,交通运输,物流,原材料供应链服务
600603.SH,广汇物流,交通运输,物流,原材料供应链服务
600704.SH,物产中大,交通运输,物流,原材料供应链服务
600753.SH,*ST海钦,交通运输,物流,原材料供应链服务
600755.SH,厦门国贸,交通运输,物流,原材料供应链服务
603329.SH,上海雅仕,交通运输,物流,原材料供应链服务
605050.SH,福然德,交通运输,物流,原材料供应链服务
002120.SZ,韵达股份,交通运输,物流,快递
002352.SZ,顺丰控股,交通运输,物流,快递
002468.SZ,申通快递,交通运输,物流,快递
600233.SH,圆通速递,交通运输,物流,快递
603056.SH,德邦股份,交通运输,物流,快递
001228.SZ,永泰运,交通运输,物流,跨境物流
001391.SZ,国货航,交通运输,物流,跨境物流
600119.SH,长江投资,交通运输,物流,跨境物流
601156.SH,东航物流,交通运输,物流,跨境物流
601598.SH,中国外运,交通运输,物流,跨境物流
603117.SH,万林物流,交通运输,物流,跨境物流
603128.SH,华贸物流,交通运输,物流,跨境物流
603535.SH,嘉诚国际,交通运输,物流,跨境物流
603836.SH,海程邦达,交通运输,物流,跨境物流
603871.SH,嘉友国际,交通运输,物流,跨境物流
603967.SH,中创物流,交通运输,物流,跨境物流
920351.BJ,华光源海,交通运输,物流,跨境物流
000089.SZ,深圳机场,交通运输,航空机场,机场
600004.SH,白云机场,交通运输,航空机场,机场
600009.SH,上海机场,交通运输,航空机场,机场
600897.SH,厦门空港,交通运输,航空机场,机场
000099.SZ,中信海直,交通运输,航空机场,航空运输
002928.SZ,华夏航空,交通运输,航空机场,航空运输
600029.SH,南方航空,交通运输,航空机场,航空运输
600115.SH,中国东航,交通运输,航空机场,航空运输
600221.SH,海航控股,交通运输,航空机场,航空运输
601021.SH,春秋航空,交通运输,航空机场,航空运输
601111.SH,中国国航,交通运输,航空机场,航空运输
603885.SH,吉祥航空,交通运输,航空机场,航空运输
000088.SZ,盐田港,交通运输,航运港口,港口
000582.SZ,北部湾港,交通运输,航运港口,港口
000905.SZ,厦门港务,交通运输,航运港口,港口
001872.SZ,招商港口,交通运输,航运港口,港口
002040.SZ,南京港,交通运输,航运港口,港口
600017.SH,日照港,交通运输,航运港口,港口
600018.SH,上港集团,交通运输,航运港口,港口
600279.SH,重庆港,交通运输,航运港口,港口
600717.SH,天津港,交通运输,航运港口,港口
601000.SH,唐山港,交通运输,航运港口,港口
601008.SH,连云港,交通运输,航运港口,港口
601018.SH,宁波港,交通运输,航运港口,港口
601228.SH,广州港,交通运输,航运港口,港口
601298.SH,青岛港,交通运输,航运港口,港口
601326.SH,秦港股份,交通运输,航运港口,港口
601880.SH,辽港股份,交通运输,航运港口,港口
000520.SZ,凤凰航运,交通运输,航运港口,航运
001205.SZ,盛航股份,交通运输,航运港口,航运
002320.SZ,海峡股份,交通运输,航运港口,航运
600026.SH,中远海能,交通运输,航运港口,航运
600179.SH,安通控股,交通运输,航运港口,航运
600428.SH,中远海特,交通运输,航运港口,航运
600751.SH,海航科技,交通运输,航运港口,航运
600798.SH,宁波海运,交通运输,航运港口,航运
601022.SH,宁波远洋,交通运输,航运港口,航运
601083.SH,锦江航运,交通运输,航运港口,航运
601866.SH,中远海发,交通运输,航运港口,航运
601872.SH,招商轮船,交通运输,航运港口,航运
601919.SH,中远海控,交通运输,航运港口,航运
601975.SH,招商南油,交通运输,航运港口,航运
603162.SH,海通发展,交通运输,航运港口,航运
603167.SH,渤海轮渡,交通运输,航运港口,航运
603209.SH,兴通股份,交通运输,航运港口,航运
603565.SH,中谷物流,交通运输,航运港口,航运
920571.BJ,国航远洋,交通运输,航运港口,航运
002357.SZ,富临运业,交通运输,铁路公路,公交
600561.SH,江西长运,交通运输,铁路公路,公交
600611.SH,大众交通,交通运输,铁路公路,公交
600650.SH,锦江在线,交通运输,铁路公路,公交
600834.SH,申通地铁,交通运输,铁路公路,公交
603069.SH,海汽集团,交通运输,铁路公路,公交
000557.SZ,西部创业,交通运输,铁路公路,铁路运输
001213.SZ,中铁特货,交通运输,铁路公路,铁路运输
001317.SZ,三羊马,交通运输,铁路公路,铁路运输
600125.SH,铁龙物流,交通运输,铁路公路,铁路运输
601006.SH,大秦铁路,交通运输,铁路公路,铁路运输
601333.SH,广深铁路,交通运输,铁路公路,铁路运输
601816.SH,京沪高铁,交通运输,铁路公路,铁路运输
000429.SZ,粤高速A,交通运输,铁路公路,高速公路
000548.SZ,湖南投资,交通运输,铁路公路,高速公路
000755.SZ,山西高速,交通运输,铁路公路,高速公路
000828.SZ,东莞控股,交通运输,铁路公路,高速公路
000886.SZ,海南高速,交通运输,铁路公路,高速公路
000900.SZ,现代投资,交通运输,铁路公路,高速公路
001965.SZ,招商公路,交通运输,铁路公路,高速公路
600012.SH,皖通高速,交通运输,铁路公路,高速公路
600020.SH,中原高速,交通运输,铁路公路,高速公路
600033.SH,福建高速,交通运输,铁路公路,高速公路
600035.SH,楚天高速,交通运输,铁路公路,高速公路
600106.SH,重庆路桥,交通运输,铁路公路,高速公路
600269.SH,赣粤高速,交通运输,铁路公路,高速公路
600350.SH,山东高速,交通运输,铁路公路,高速公路
600368.SH,五洲交通,交通运输,铁路公路,高速公路
600377.SH,宁沪高速,交通运输,铁路公路,高速公路
600548.SH,深高速,交通运输,铁路公路,高速公路
601107.SH,四川成渝,交通运输,铁路公路,高速公路
601188.SH,龙江交通,交通运输,铁路公路,高速公路
601518.SH,吉林高速,交通运输,铁路公路,高速公路
000719.SZ,中原传媒,传媒,出版,大众出版
000793.SZ,*ST华闻,传媒,出版,大众出版
002181.SZ,粤传媒,传媒,出版,大众出版
300364.SZ,中文在线,传媒,出版,大众出版
300788.SZ,中信出版,传媒,出版,大众出版
301025.SZ,读客文化,传媒,出版,大众出版
301052.SZ,果麦文化,传媒,出版,大众出版
301231.SZ,荣信文化,传媒,出版,大众出版
600229.SH,城市传媒,传媒,出版,大众出版
600373.SH,中文传媒,传媒,出版,大众出版
600551.SH,时代出版,传媒,出版,大众出版
600825.SH,新华传媒,传媒,出版,大众出版
601801.SH,皖新传媒,传媒,出版,大众出版
601858.SH,中国科传,传媒,出版,大众出版
601949.SH,中国出版,传媒,出版,大众出版
601999.SH,出版传媒,传媒,出版,大众出版
603096.SH,新经典,传媒,出版,大众出版
603230.SH,内蒙新华,传媒,出版,大众出版
603999.SH,读者传媒,传媒,出版,大众出版
300148.SZ,天舟文化,传媒,出版,教育出版
300654.SZ,世纪天鸿,传媒,出版,教育出版
600757.SH,长江传媒,传媒,出版,教育出版
601019.SH,山东出版,传媒,出版,教育出版
601098.SH,中南传媒,传媒,出版,教育出版
601811.SH,新华文轩,传媒,出版,教育出版
601900.SH,南方传媒,传媒,出版,教育出版
601921.SH,浙版传媒,传媒,出版,教育出版
601928.SH,凤凰传媒,传媒,出版,教育出版
605577.SH,龙版传媒,传媒,出版,教育出版
000607.SZ,华媒控股,传媒,广告营销,广告媒体
002027.SZ,分众传媒,传媒,广告营销,广告媒体
301102.SZ,兆讯传媒,传媒,广告营销,广告媒体
000676.SZ,智度股份,传媒,广告营销,营销代理
002264.SZ,新华都,传媒,广告营销,营销代理
002291.SZ,遥望科技,传媒,广告营销,营销代理
002354.SZ,天娱数科,传媒,广告营销,营销代理
002400.SZ,省广集团,传媒,广告营销,营销代理
002712.SZ,思美传媒,传媒,广告营销,营销代理
002878.SZ,元隆雅图,传媒,广告营销,营销代理
002995.SZ,天地在线,传媒,广告营销,营销代理
300058.SZ,蓝色光标,传媒,广告营销,营销代理
300061.SZ,旗天科技,传媒,广告营销,营销代理
300063.SZ,天龙集团,传媒,广告营销,营销代理
300071.SZ,福石控股,传媒,广告营销,营销代理
300242.SZ,佳云科技,传媒,广告营销,营销代理
300612.SZ,宣亚国际,传媒,广告营销,营销代理
300781.SZ,因赛集团,传媒,广告营销,营销代理
300805.SZ,电声股份,传媒,广告营销,营销代理
301171.SZ,易点天下,传媒,广告营销,营销代理
600358.SH,ST联合,传媒,广告营销,营销代理
600556.SH,天下秀,传媒,广告营销,营销代理
600986.SH,浙文互联,传媒,广告营销,营销代理
603598.SH,引力传媒,传媒,广告营销,营销代理
603602.SH,纵横通信,传媒,广告营销,营销代理
603729.SH,龙韵股份,传媒,广告营销,营销代理
603825.SH,ST华扬,传媒,广告营销,营销代理
605168.SH,三人行,传媒,广告营销,营销代理
000802.SZ,北京文化,传媒,影视院线,影视动漫制作
000892.SZ,欢瑞世纪,传媒,影视院线,影视动漫制作
001330.SZ,博纳影业,传媒,影视院线,影视动漫制作
002292.SZ,奥飞娱乐,传媒,影视院线,影视动漫制作
002343.SZ,慈文传媒,传媒,影视院线,影视动漫制作
300027.SZ,华谊兄弟,传媒,影视院线,影视动漫制作
300133.SZ,华策影视,传媒,影视院线,影视动漫制作
300182.SZ,捷成股份,传媒,影视院线,影视动漫制作
300251.SZ,光线传媒,传媒,影视院线,影视动漫制作
300291.SZ,百纳千成,传媒,影视院线,影视动漫制作
300426.SZ,华智数媒,传媒,影视院线,影视动漫制作
600088.SH,中视传媒,传媒,影视院线,影视动漫制作
600977.SH,中国电影,传媒,影视院线,影视动漫制作
601595.SH,上海电影,传媒,影视院线,影视动漫制作
603721.SH,*ST天择,传媒,影视院线,影视动漫制作
002739.SZ,万达电影,传媒,影视院线,院线
002905.SZ,金逸影视,传媒,影视院线,院线
300528.SZ,幸福蓝海,传媒,影视院线,院线
603103.SH,横店影视,传媒,影视院线,院线
301313.SZ,凡拓数创,传媒,数字媒体,其他数字媒体
600640.SH,国脉文化,传媒,数字媒体,其他数字媒体
603466.SH,风语筑,传媒,数字媒体,其他数字媒体
000681.SZ,视觉中国,传媒,数字媒体,图片媒体
603533.SH,掌阅科技,传媒,数字媒体,文字媒体
300413.SZ,芒果超媒,传媒,数字媒体,视频媒体
002095.SZ,生意宝,传媒,数字媒体,门户网站
300295.SZ,三六五网,传媒,数字媒体,门户网站
300785.SZ,值得买,传媒,数字媒体,门户网站
300987.SZ,川网传媒,传媒,数字媒体,门户网站
301299.SZ,卓创资讯,传媒,数字媒体,门户网站
600228.SH,*ST返利,传媒,数字媒体,门户网站
603000.SH,人民网,传媒,数字媒体,门户网站
603888.SH,新华网,传媒,数字媒体,门户网站
002174.SZ,游族网络,传媒,游戏Ⅱ,游戏Ⅲ
002425.SZ,凯撒文化,传媒,游戏Ⅱ,游戏Ⅲ
002517.SZ,恺英网络,传媒,游戏Ⅱ,游戏Ⅲ
002555.SZ,三七互娱,传媒,游戏Ⅱ,游戏Ⅲ
002558.SZ,巨人网络,传媒,游戏Ⅱ,游戏Ⅲ
002602.SZ,世纪华通,传媒,游戏Ⅱ,游戏Ⅲ
002605.SZ,姚记科技,传媒,游戏Ⅱ,游戏Ⅲ
002624.SZ,完美世界,传媒,游戏Ⅱ,游戏Ⅲ
002919.SZ,名臣健康,传媒,游戏Ⅱ,游戏Ⅲ
300002.SZ,神州泰岳,传媒,游戏Ⅱ,游戏Ⅲ
300031.SZ,宝通科技,传媒,游戏Ⅱ,游戏Ⅲ
300043.SZ,星辉娱乐,传媒,游戏Ⅱ,游戏Ⅲ
300052.SZ,ST中青宝,传媒,游戏Ⅱ,游戏Ⅲ
300113.SZ,顺网科技,传媒,游戏Ⅱ,游戏Ⅲ
300299.SZ,富春股份,传媒,游戏Ⅱ,游戏Ⅲ
300315.SZ,掌趣科技,传媒,游戏Ⅱ,游戏Ⅲ
300418.SZ,昆仑万维,传媒,游戏Ⅱ,游戏Ⅲ
300459.SZ,汤姆猫,传媒,游戏Ⅱ,游戏Ⅲ
300467.SZ,迅游科技,传媒,游戏Ⅱ,游戏Ⅲ
300494.SZ,盛天网络,传媒,游戏Ⅱ,游戏Ⅲ
300533.SZ,冰川网络,传媒,游戏Ⅱ,游戏Ⅲ
600633.SH,浙数文化,传媒,游戏Ⅱ,游戏Ⅲ
600715.SH,文投控股,传媒,游戏Ⅱ,游戏Ⅲ
600892.SH,*ST大晟,传媒,游戏Ⅱ,游戏Ⅲ
603258.SH,电魂网络,传媒,游戏Ⅱ,游戏Ⅲ
603444.SH,吉比特,传媒,游戏Ⅱ,游戏Ⅲ
000156.SZ,华数传媒,传媒,电视广播Ⅱ,电视广播Ⅲ
000665.SZ,湖北广电,传媒,电视广播Ⅱ,电视广播Ⅲ
000917.SZ,电广传媒,传媒,电视广播Ⅱ,电视广播Ⅲ
002238.SZ,天威视讯,传媒,电视广播Ⅱ,电视广播Ⅲ
300770.SZ,新媒股份,传媒,电视广播Ⅱ,电视广播Ⅲ
301262.SZ,海看股份,传媒,电视广播Ⅱ,电视广播Ⅲ
301551.SZ,无线传媒,传媒,电视广播Ⅱ,电视广播Ⅲ
600037.SH,歌华有线,传媒,电视广播Ⅱ,电视广播Ⅲ
600637.SH,东方明珠,传媒,电视广播Ⅱ,电视广播Ⅲ
600831.SH,广电网络,传媒,电视广播Ⅱ,电视广播Ⅲ
600936.SH,北投科技,传媒,电视广播Ⅱ,电视广播Ⅲ
600959.SH,江苏有线,传媒,电视广播Ⅱ,电视广播Ⅲ
600996.SH,贵广网络,传媒,电视广播Ⅱ,电视广播Ⅲ
601929.SH,吉视传媒,传媒,电视广播Ⅱ,电视广播Ⅲ
920021.BJ,流金科技,传媒,电视广播Ⅱ,电视广播Ⅲ
000407.SZ,胜利股份,公用事业,燃气Ⅱ,燃气Ⅲ
000593.SZ,德龙汇能,公用事业,燃气Ⅱ,燃气Ⅲ
000669.SZ,ST金鸿,公用事业,燃气Ⅱ,燃气Ⅲ
001299.SZ,美能能源,公用事业,燃气Ⅱ,燃气Ⅲ
001331.SZ,胜通能源,公用事业,燃气Ⅱ,燃气Ⅲ
002259.SZ,升达林业,公用事业,燃气Ⅱ,燃气Ⅲ
002267.SZ,陕天然气,公用事业,燃气Ⅱ,燃气Ⅲ
002700.SZ,万憬能源,公用事业,燃气Ⅱ,燃气Ⅲ
002911.SZ,佛燃能源,公用事业,燃气Ⅱ,燃气Ⅲ
300332.SZ,天壕能源,公用事业,燃气Ⅱ,燃气Ⅲ
300435.SZ,中泰股份,公用事业,燃气Ⅱ,燃气Ⅲ
300483.SZ,首华燃气,公用事业,燃气Ⅱ,燃气Ⅲ
600333.SH,长春燃气,公用事业,燃气Ⅱ,燃气Ⅲ
600617.SH,国新能源,公用事业,燃气Ⅱ,燃气Ⅲ
600635.SH,大众公用,公用事业,燃气Ⅱ,燃气Ⅲ
600681.SH,百川能源,公用事业,燃气Ⅱ,燃气Ⅲ
600803.SH,新奥股份,公用事业,燃气Ⅱ,燃气Ⅲ
600903.SH,贵州燃气,公用事业,燃气Ⅱ,燃气Ⅲ
600917.SH,重庆燃气,公用事业,燃气Ⅱ,燃气Ⅲ
601139.SH,深圳燃气,公用事业,燃气Ⅱ,燃气Ⅲ
603053.SH,成都燃气,公用事业,燃气Ⅱ,燃气Ⅲ
603080.SH,新疆火炬,公用事业,燃气Ⅱ,燃气Ⅲ
603318.SH,水发燃气,公用事业,燃气Ⅱ,燃气Ⅲ
603393.SH,新天然气,公用事业,燃气Ⅱ,燃气Ⅲ
603689.SH,皖天然气,公用事业,燃气Ⅱ,燃气Ⅲ
603706.SH,东方环宇,公用事业,燃气Ⅱ,燃气Ⅲ
605090.SH,九丰能源,公用事业,燃气Ⅱ,燃气Ⅲ
