股票代码,股票简称,一级行业,二级行业,三级行业,数据季度
000523,红棉股份,综合,综合Ⅱ,综合Ⅲ,2026Q2
000632,ST三木,综合,综合Ⅱ,综合Ⅲ,2026Q2
000753,漳州发展,综合,综合Ⅱ,综合Ⅲ,2026Q2
000421,南京公用,综合,综合Ⅱ,综合Ⅲ,2026Q2
000025,特力A,综合,综合Ⅱ,综合Ⅲ,2026Q2
000652,泰达股份,综合,综合Ⅱ,综合Ⅲ,2026Q2
000833,粤桂股份,综合,综合Ⅱ,综合Ⅲ,2026Q2
600051,宁波联合,综合,综合Ⅱ,综合Ⅲ,2026Q2
600689,上海三毛,综合,综合Ⅱ,综合Ⅲ,2026Q2
600673,东阳光,综合,综合Ⅱ,综合Ⅲ,2026Q2
600682,南京新百,综合,综合Ⅱ,综合Ⅲ,2026Q2
600770,综艺股份,综合,综合Ⅱ,综合Ⅲ,2026Q2
600881,亚泰集团,综合,综合Ⅱ,综合Ⅲ,2026Q2
600805,悦达投资,综合,综合Ⅱ,综合Ⅲ,2026Q2
600620,天宸股份,综合,综合Ⅱ,综合Ⅲ,2026Q2
000831,中国稀土,有色金属,小金属,稀土,2026Q2
600111,北方稀土,有色金属,小金属,稀土,2026Q2
600259,中稀有色,有色金属,小金属,稀土,2026Q2
600392,盛和资源,有色金属,小金属,稀土,2026Q2
001280,中国铀业,有色金属,小金属,稀土,2026Q2
002378,章源钨业,有色金属,小金属,钨,2026Q2
000657,中钨高新,有色金属,小金属,钨,2026Q2
002842,翔鹭钨业,有色金属,小金属,钨,2026Q2
600549,厦门钨业,有色金属,小金属,钨,2026Q2
002167,东方锆业,有色金属,小金属,其他小金属,2026Q2
002149,西部材料,有色金属,小金属,其他小金属,2026Q2
002182,宝武镁业,有色金属,小金属,其他小金属,2026Q2
002738,中矿资源,有色金属,小金属,其他小金属,2026Q2
000962,东方钽业,有色金属,小金属,其他小金属,2026Q2
000960,锡业股份,有色金属,小金属,其他小金属,2026Q2
600281,华阳新材,有色金属,小金属,其他小金属,2026Q2
600301,华锡有色,有色金属,小金属,其他小金属,2026Q2
002428,云南锗业,有色金属,小金属,其他小金属,2026Q2
600459,贵研铂业,有色金属,小金属,其他小金属,2026Q2
600456,宝钛股份,有色金属,小金属,其他小金属,2026Q2
002978,安宁股份,有色金属,小金属,其他小金属,2026Q2
301026,浩通科技,有色金属,小金属,其他小金属,2026Q2
688750,金天钛业,有色金属,小金属,其他小金属,2026Q2
920068.BJ,天工股份,有色金属,小金属,其他小金属,2026Q2
603407,长裕集团,有色金属,小金属,其他小金属,2026Q2
601958,金钼股份,有色金属,小金属,钼,2026Q2
001257,盛龙股份,有色金属,小金属,钼,2026Q2
605376,博迁新材,有色金属,能源金属,镍,2026Q2
002192,融捷股份,有色金属,能源金属,锂,2026Q2
000762,西藏矿业,有色金属,能源金属,锂,2026Q2
002240,盛新锂能,有色金属,能源金属,锂,2026Q2
002460,赣锋锂业,有色金属,能源金属,锂,2026Q2
002466,天齐锂业,有色金属,能源金属,锂,2026Q2
002756,永兴材料,有色金属,能源金属,锂,2026Q2
603399,永杉锂业,有色金属,能源金属,锂,2026Q2
000408,藏格矿业,有色金属,能源金属,锂,2026Q2
603799,华友钴业,有色金属,能源金属,钴,2026Q2
300618,寒锐钴业,有色金属,能源金属,钴,2026Q2
600711,盛屯矿业,有色金属,能源金属,钴,2026Q2
301219,腾远钴业,有色金属,能源金属,钴,2026Q2
000633,合金投资,有色金属,金属新材料,其他金属新材料,2026Q2
000969,安泰科技,有色金属,金属新材料,其他金属新材料,2026Q2
600255,鑫科材料,有色金属,金属新材料,其他金属新材料,2026Q2
601137,博威合金,有色金属,金属新材料,其他金属新材料,2026Q2
603978,深圳新星,有色金属,金属新材料,其他金属新材料,2026Q2
603045,福达合金,有色金属,金属新材料,其他金属新材料,2026Q2
300855,图南股份,有色金属,金属新材料,其他金属新材料,2026Q2
605158,华达新材,有色金属,金属新材料,其他金属新材料,2026Q2
300930,屹通新材,有色金属,金属新材料,其他金属新材料,2026Q2
688456,有研粉材,有色金属,金属新材料,其他金属新材料,2026Q2
300963,中洲特材,有色金属,金属新材料,其他金属新材料,2026Q2
688190,云路股份,有色金属,金属新材料,其他金属新材料,2026Q2
688102,斯瑞新材,有色金属,金属新材料,其他金属新材料,2026Q2
