股票代码,股票名称,股东户数,上期股东户数,股东人数增幅,人均持股数量,数据日期,数据季度
002054,德美化工,32769.0,26034,25.87,14713.0,2026-03-31,2026Q2
002055,ST得润,53537.0,71345,-24.96,11291.0,2026-03-31,2026Q2
002056,横店东磁,93451.0,84467,10.64,17407.0,2026-03-31,2026Q2
600048,保利发展,252972.0,254779,-0.71,47319.0,2026-03-31,2026Q2
002057,中钢天源,39339.0,46917,-16.15,19164.0,2026-03-31,2026Q2
002058,*ST威尔,6494.0,6835,-4.99,22089.0,2026-03-31,2026Q2
002059,云南旅游,63907.0,65238,-2.04,15842.0,2026-03-31,2026Q2
601006,大秦铁路,327538.0,262823,24.62,61511.0,2026-03-31,2026Q2
002060,广东建工,69578.0,74023,-6.0,53959.0,2026-03-31,2026Q2
002061,浙江交科,43642.0,44983,-2.98,61278.0,2026-03-31,2026Q2
002062,宏润建设,35187.0,32145,9.46,35163.0,2026-03-31,2026Q2
002063,远光软件,103256.0,88739,16.36,18511.0,2026-03-31,2026Q2
002064,华峰化学,49076.0,44576,10.1,101120.0,2026-03-31,2026Q2
002065,东华软件,258630.0,283713,-8.84,12394.0,2026-03-31,2026Q2
002066,瑞泰科技,13697.0,14882,-7.96,17150.0,2026-03-31,2026Q2
601111,中国国航,161142.0,112896,42.73,108280.0,2026-03-31,2026Q2
002067,景兴纸业,140911.0,158443,-11.07,10467.0,2026-03-31,2026Q2
300016,北陆药业,40838.0,40452,0.95,13783.0,2026-03-31,2026Q2
002068,黑猫股份,41984.0,43660,-3.84,17515.0,2026-03-31,2026Q2
300271,华宇软件,43279.0,47084,-8.08,18759.0,2026-03-31,2026Q2
601699,潞安环能,61891.0,81675,-24.22,48334.0,2026-03-31,2026Q2
002069,獐子岛,34667.0,38033,-8.85,20513.0,2026-03-31,2026Q2
002279,久其软件,98766.0,109891,-10.12,8730.0,2026-03-31,2026Q2
002072,凯瑞德,12040.0,11588,3.9,30538.0,2026-03-31,2026Q2
601588,北辰实业,110988.0,115732,-4.1,30337.0,2026-03-31,2026Q2
002073,软控股份,69757.0,65503,6.49,14680.0,2026-03-31,2026Q2
600017,日照港,90119.0,90497,-0.42,34129.0,2026-03-31,2026Q2
002074,国轩高科,265201.0,260470,1.82,6841.0,2026-03-31,2026Q2
002075,沙钢股份,71120.0,66776,6.51,30847.0,2026-03-31,2026Q2
002076,*ST星光,34791.0,41651,-16.47,31880.0,2026-03-31,2026Q2
002079,苏州固锝,107120.0,106488,0.59,7576.0,2026-03-31,2026Q2
002077,大港股份,102217.0,89600,14.08,5678.0,2026-03-31,2026Q2
002078,太阳纸业,40636.0,38538,5.44,68770.0,2026-03-31,2026Q2
600018,上港集团,165267.0,146784,12.59,140863.0,2026-03-31,2026Q2
002080,中材科技,102905.0,92897,10.77,16308.0,2026-03-31,2026Q2
002081,金 螳 螂,66341.0,71940,-7.78,40025.0,2026-03-31,2026Q2
002082,ST万邦,47037.0,22869,105.68,13004.0,2026-03-31,2026Q2
601666,平煤股份,66348.0,82359,-19.44,37218.0,2026-03-31,2026Q2
002085,万丰奥威,210290.0,209551,0.35,10097.0,2026-03-31,2026Q2
002083,孚日股份,76035.0,86981,-12.58,12450.0,2026-03-31,2026Q2
002084,海鸥住工,31808.0,39004,-18.45,20311.0,2026-03-31,2026Q2
002086,东方海洋,81606.0,75803,7.66,24005.0,2026-03-31,2026Q2
002088,鲁阳节能,18335.0,15567,17.78,27986.0,2026-03-31,2026Q2
601872,招商轮船,131405.0,87106,50.86,61448.0,2026-03-31,2026Q2
002090,金智科技,40113.0,40317,-0.51,9986.0,2026-03-31,2026Q2
002091,江苏国泰,54758.0,58522,-6.43,29726.0,2026-03-31,2026Q2
002092,中泰化学,90798.0,88463,2.64,28525.0,2026-03-31,2026Q2
002094,青岛金王,111164.0,117060,-5.04,6215.0,2026-03-31,2026Q2
002095,生 意 宝,36696.0,37607,-2.42,6887.0,2026-03-31,2026Q2
002093,国脉科技,86809.0,95974,-9.55,11606.0,2026-03-31,2026Q2
601991,大唐发电,276920.0,181152,52.87,66831.0,2026-03-31,2026Q2
002097,山河智能,146693.0,163662,-10.37,7326.0,2026-03-31,2026Q2
