股票代码,股票名称,交易所,来源指数,分红次数
000429,粤高速A,深市主板,中证红利,52
600295,鄂尔多斯,沪市主板,中证红利,49
600028,中国石化,沪市主板,中证红利,48
000596,古井贡酒,深市主板,红利增长,43
000513,丽珠集团,深市主板,红利质量,37
601318,中国平安,沪市主板,"中证红利, 红利质量",37
601857,中国石油,沪市主板,"中证红利, 红利增长",36
600188,兖矿能源,沪市主板,中证红利,34
600016,民生银行,沪市主板,中证红利,32
000895,双汇发展,深市主板,"中证红利, 中证红利质量",32
000651,格力电器,深市主板,"中证红利, 红利质量",31
600177,雅戈尔,沪市主板,中证红利,31
600600,青岛啤酒,沪市主板,红利增长,31
000568,泸州老窖,深市主板,红利增长,30
600690,海尔智家,沪市主板,红利增长,30
600750,江中药业,沪市主板,红利质量,30
600519,贵州茅台,沪市主板,"中证红利质量, 红利增长",29
000423,东阿阿胶,深市主板,"中证红利质量, 红利质量",28
000543,皖能电力,深市主板,中证红利质量,28
600153,建发股份,沪市主板,中证红利,28
000786,北新建材,深市主板,红利增长,28
600729,重庆百货,沪市主板,中证红利,28
600323,瀚蓝环境,沪市主板,"红利增长, 红利质量",27
000157,中联重科,深市主板,中证红利,27
000729,燕京啤酒,深市主板,红利增长,27
600660,福耀玻璃,沪市主板,"中证红利质量, 红利质量",26
002555,三七互娱,深市主板,中证红利质量,26
600210,紫江企业,沪市主板,"中证红利质量, 红利增长",26
000563,陕国投A,深市主板,红利增长,26
600761,安徽合力,沪市主板,红利增长,26
600273,嘉化能源,沪市主板,中证红利,26
000933,神火股份,深市主板,"中证红利, 红利质量",26
000983,山西焦煤,深市主板,中证红利,26
600362,江西铜业,沪市主板,红利增长,25
600015,华夏银行,沪市主板,"中证红利, 红利增长",25
600377,宁沪高速,沪市主板,红利增长,25
000090,天健集团,深市主板,中证红利,25
600012,皖通高速,沪市主板,"中证红利, 红利增长",24
000858,五粮液,深市主板,红利增长,24
600585,海螺水泥,沪市主板,中证红利,24
002601,龙佰集团,深市主板,中证红利,24
600549,厦门钨业,沪市主板,红利增长,24
600741,华域汽车,沪市主板,中证红利,24
600036,招商银行,沪市主板,"中证红利, 红利增长",24
000400,许继电气,深市主板,红利增长,24
600436,片仔癀,沪市主板,红利增长,24
600755,厦门国贸,沪市主板,中证红利,24
600282,南钢股份,沪市主板,中证红利,24
600123,兰花科创,沪市主板,中证红利,23
600285,羚锐制药,沪市主板,中证红利质量,23
600406,国电南瑞,沪市主板,红利增长,23
600350,山东高速,沪市主板,中证红利,23
000988,华工科技,深市主板,红利增长,23
600300,维维股份,沪市主板,中证红利质量,23
600064,南京高科,沪市主板,中证红利,23
600398,海澜之家,沪市主板,中证红利,23
600993,马应龙,沪市主板,红利增长,22
601328,交通银行,沪市主板,中证红利,22
600284,浦东建设,沪市主板,红利增长,22
000999,华润三九,深市主板,红利增长,22
600985,淮北矿业,沪市主板,中证红利,21
002028,思源电气,深市主板,红利增长,21
600351,亚宝药业,沪市主板,中证红利质量,21
000807,云铝股份,深市主板,中证红利质量,21
601899,紫金矿业,沪市主板,红利增长,21
000975,山金国际,深市主板,中证红利质量,20
601939,建设银行,沪市主板,中证红利,20
601988,中国银行,沪市主板,中证红利,20
600582,天地科技,沪市主板,红利增长,20
002043,兔宝宝,深市主板,中证红利,20
600997,开滦股份,沪市主板,中证红利,20
600461,洪城环境,沪市主板,中证红利,20
600373,中文传媒,沪市主板,中证红利,20
601006,大秦铁路,沪市主板,中证红利,20
002117,东港股份,深市主板,中证红利质量,20
600502,安徽建工,沪市主板,中证红利,20
002233,塔牌集团,深市主板,"中证红利, 中证红利质量",20
002154,报喜鸟,深市主板,中证红利,20
601398,工商银行,沪市主板,中证红利,20
601601,中国太保,沪市主板,"中证红利质量, 红利质量",19
002540,亚太科技,深市主板,中证红利,19
600096,云天化,沪市主板,"中证红利, 中证红利质量, 红利质量",19
601169,北京银行,沪市主板,中证红利,19
600737,中粮糖业,沪市主板,中证红利,19
002078,太阳纸业,深市主板,红利增长,19
600348,华阳股份,沪市主板,中证红利,19
601088,中国神华,沪市主板,"中证红利, 中证红利质量",19
002267,陕天然气,深市主板,中证红利,19
600873,梅花生物,沪市主板,"中证红利质量, 红利质量",19
601009,南京银行,沪市主板,中证红利,19
002096,易普力,深市主板,红利增长,19
601166,兴业银行,沪市主板,中证红利,19
002046,国机精工,深市主板,红利增长,19
002353,杰瑞股份,深市主板,红利增长,18
